"class_id","class_name","crop_en","crop_ar","disease_en","disease_ar","status","pathogen_en","pathogen_ar","symptoms_en","symptoms_ar","environmental_factors_en","environmental_factors_ar","predisposing_stress_en","predisposing_stress_ar","chemical_treatment_en","chemical_treatment_ar","organic_treatment_en","organic_treatment_ar","prevention_en","prevention_ar","severity","season_en","season_ar","source_url"
"10","Corn___healthy","Corn (Maize)","ذرة","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"11","Grape___Black_rot","Grape","عنب","Black Rot","العفن الأسود","diseased","Fungus: Guignardia bidwellii (anamorph: Phyllosticta ampelicida)","فطر: Guignardia bidwellii","Small yellow leaf spots enlarging to lesions with reddish-brown borders and tan centers with ringed black pycnidia; berries shrivel into black mummies.","بقع صفراء صغيرة على الأوراق تتسع إلى بقع بإطار بني محمر ومركز فاتح مع نقاط سوداء دائرية (pycnidia)؛ الحبات تتحول إلى مومياء سوداء مجففة.","Warm (20-32°C) and humid weather; 6+ hours of wetness needed for infection.","طقس دافئ (20-32°م) ورطب؛ يحتاج إلى بلل مستمر 6 ساعات أو أكثر للإصابة.","Infected mummies from prior year left on vines/ground are the main inoculum source.","المومياوات المصابة من العام السابق المتروكة على الكرمة/الأرض هي المصدر الرئيسي للعدوى.","Mancozeb, myclobutanil, or pyraclostrobin from 2-3 weeks before bloom through 4-6 weeks after bloom.","مانكوزيب أو مايكلوبوتانيل أو بيراكلوستروبين من 2-3 أسابيع قبل التزهير حتى 4-6 أسابيع بعد التزهير.","Copper, sulfur sprays; remove all mummies before spring bud break.","رش النحاس أو الكبريت، إزالة جميع المومياوات قبل تفتح البراعم الربيعية.","Sanitation (remove mummies and debris), canopy management for airflow, protective fungicide program.","النظافة (إزالة المومياوات والبقايا)، إدارة المجموع الخضري للتهوية، برنامج مبيدات وقائية.","High","Spring to early summer","الربيع إلى بداية الصيف","https://ohioline.osu.edu/factsheet/plpath-fru-24"
"12","Grape___Esca","Grape","عنب","Esca (Black Measles)","إسكا (الحصبة السوداء)","diseased","Fungal complex: Phaeoacremonium spp. + Phaeomoniella chlamydospora + Fomitiporia mediterranea","مجموعة فطرية: Phaeoacremonium spp. + Phaeomoniella chlamydospora + Fomitiporia mediterranea","Interveinal 'tiger stripe' pattern on leaves (yellow in white varieties, red in red varieties); dark spots on berries; internal wood darkening.","نمط ""خطوط النمر"" بين العروق (أصفر في الأصناف البيضاء، أحمر في الأصناف الحمراء)، بقع داكنة على الحبات، سواد داخلي في الخشب.","Pathogens enter via pruning wounds; infection favored by wet weather after pruning.","المسببات تدخل عبر جروح التقليم؛ العدوى تنشط في طقس رطب بعد التقليم.","Drought stress + pruning wounds during wet weather; old vines (>10 years) more susceptible.","إجهاد الجفاف + جروح التقليم في الطقس الرطب؛ الكرمات القديمة (>10 سنوات) أكثر قابلية.","Only thiophanate-methyl approved for wound protection; no cure once vine is systemic.","ثيوفانات ميثيل فقط مسموح به لحماية الجروح؛ لا يوجد علاج بعد إصابة الكرمة جهازيًا.","Trichoderma-based biocontrol paints on pruning wounds; trunk renewal (cut infected section and retrain).","دهانات حيوية ببكتيريا Trichoderma على جروح التقليم، تجديد الجذع (قطع الجزء المصاب وإعادة التربية).","Prune during dry weather; protect pruning wounds; avoid large cuts on older vines; remove symptomatic vines.","التقليم في الجو الجاف، حماية جروح التقليم، تجنب القطوع الكبيرة في الكرمات الكبيرة، إزالة الكرمات المريضة.","High","Symptoms appear July–August","الأعراض تظهر يوليو-أغسطس","https://ipm.ucanr.edu/agriculture/grape/esca-black-measles/"
"13","Grape___Leaf_blight","Grape","عنب","Leaf Blight (Isariopsis Leaf Spot)","لفحة الأوراق (بقعة إزاريوبسيز)","diseased","Fungus: Pseudocercospora vitis (formerly Isariopsis clavispora)","فطر: Pseudocercospora vitis (اسمه سابقًا Isariopsis clavispora)","Large irregular spots, initially dull red to brown, turning black and brittle with age. Usually appears late in season.","بقع كبيرة غير منتظمة، تبدأ حمراء باهتة إلى بنية، ثم تسودّ وتصبح هشة. عادة تظهر أواخر الموسم.","Warm, humid conditions late in the growing season; poor spray coverage.","ظروف دافئة ورطبة أواخر الموسم، ضعف تغطية الرش.","Neglected or poorly sprayed vineyards; late-season vigor loss.","كروم مهملة أو ضعيفة الرش، ضعف نشاط الكرمة أواخر الموسم.","Copper fungicides (Bordeaux mixture) applied late in season after fruiting.","مبيدات نحاسية (مخلوط بوردو) تطبَّق أواخر الموسم بعد الإثمار.","Copper sprays; lemongrass essential oil has shown efficacy in trials.","رش النحاس، زيت الليمون الأساسي أثبت فعالية في التجارب.","Canopy management (shoot thinning, leaf removal), maintain regular fungicide schedule through late season.","إدارة المجموع الخضري (تقليم الأفرع، إزالة الأوراق)، الحفاظ على جدول مبيدات منتظم حتى أواخر الموسم.","Low","Late summer to fall","أواخر الصيف إلى الخريف","https://plantvillage.psu.edu/topics/grape/infos/diseases_and_pests_description_uses_propagation"
"14","Grape___healthy","Grape","عنب","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"15","Orange___Haunglongbing","Orange (Citrus)","برتقال (موالح)","Huanglongbing (Citrus Greening)","هوانجلونجبينج (التخضّر)","diseased","Bacterium: Candidatus Liberibacter asiaticus (CLas); vectored by Asian citrus psyllid Diaphorina citri","بكتيريا: Candidatus Liberibacter asiaticus (CLas)؛ ينقلها حشرة بسيلا الحمضيات الآسيوية Diaphorina citri","Asymmetric blotchy mottle on leaves, yellow veins, small lopsided bitter fruit with green ends, premature fruit drop, eventual tree death.","تبقع متبقّع غير متماثل على الأوراق، اصفرار العروق، ثمار صغيرة غير منتظمة الشكل مريرة الطعم خضراء الأطراف، تساقط مبكر للثمار، وموت الشجرة في النهاية.","Warm regions favor psyllid populations; no environmental cure exists.","المناطق الدافئة مفضّلة لتكاثر البسيلا، ولا يوجد علاج بيئي.","Proximity to infected trees or nurseries; any psyllid infestation in orchard.","القرب من أشجار أو مشاتل مصابة، أي إصابة بالبسيلا في البستان.","No cure. Control psyllids with imidacloprid, thiamethoxam, or pyrethroids (rotate to avoid resistance).","لا يوجد علاج. مكافحة البسيلا بـ إيميداكلوبريد أو ثياميثوكسام أو بيرثرويدات (مع التبديل لمنع المقاومة).","Horticultural oils, kaolin clay, neem oil for psyllid control; biocontrol with Tamarixia radiata wasp.","زيوت بستانية، طين الكاولين، زيت النيم لمكافحة البسيلا، المكافحة الحيوية باستخدام زنبور Tamarixia radiata.","Use certified disease-free nursery stock; remove infected trees immediately; scout for psyllids weekly; area-wide management.","استخدام شتلات معتمدة خالية من المرض، إزالة الأشجار المصابة فورًا، الكشف الأسبوعي عن البسيلا، إدارة شاملة للمنطقة.","High","Year-round in warm climates","طوال العام في المناخات الدافئة","https://crec.ifas.ufl.edu/research/citrus-production/disease-identification/citrus-greening-huanglongbing/"
"16","Peach___Bacterial_spot","Peach","خوخ","Bacterial Spot","التبقع البكتيري","diseased","Bacterium: Xanthomonas arboricola pv. pruni","بكتيريا: Xanthomonas arboricola pv. pruni","Small angular water-soaked leaf spots turning purple-brown then dropping out ('shot-hole' look); fruit cracks; twig cankers (spring cankers).","بقع زاوية صغيرة مشبعة بالماء على الأوراق تتحول لبني بنفسجي ثم تسقط (مظهر ثقب الطلقة)، تشقق الثمار، تقرحات على الأفرع (تقرحات الربيع).","Warm, wet weather (24-29°C); wind-driven rain; overhead irrigation.","طقس دافئ رطب (24-29°م)، مطر مصحوب برياح، ري علوي.","Sandy soils, weak tree vigor, poor nutrition (especially low K and Zn), susceptible cultivars.","تربة رملية، ضعف نمو الشجرة، تغذية ضعيفة (خاصة البوتاسيوم والزنك)، أصناف قابلة للإصابة.","Copper sprays at dormant/shuck-split, reducing rate to avoid foliar burn; oxytetracycline in severe cases.","رش النحاس في مرحلة السكون/انشقاق القشرة، مع تخفيض الجرعة لتجنب حرق الأوراق، أوكسي تتراسيكلين في الحالات الشديدة.","Copper hydroxide at dormancy; plant resistant varieties (Contender, Redhaven, Harrow Diamond).","هيدروكسيد النحاس في مرحلة السكون، زراعة أصناف مقاومة (Contender, Redhaven, Harrow Diamond).","Resistant cultivars, avoid overhead irrigation, prune during dry weather, ensure balanced fertilization (adequate K and Zn).","أصناف مقاومة، تجنب الري العلوي، التقليم في طقس جاف، التسميد المتوازن (خاصة البوتاسيوم والزنك).","High","Spring to early summer","الربيع إلى بداية الصيف","https://extension.psu.edu/stone-fruit-disease-bacterial-spot"
"17","Peach___healthy","Peach","خوخ","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"18","Pepper_bell___Bacterial_spot","Bell Pepper","فلفل رومي","Bacterial Spot","التبقع البكتيري","diseased","Bacteria: Xanthomonas euvesicatoria, X. vesicatoria, X. gardneri, X. perforans","بكتيريا: Xanthomonas euvesicatoria و X. vesicatoria و X. gardneri و X. perforans","Small (<3 mm) brown circular leaf spots without yellow halo; centers do not fall out (unlike in tomato); fruit shows raised brown scabs.","بقع دائرية بنية صغيرة (<3 مم) على الأوراق بدون هالة صفراء، مراكزها لا تسقط (عكس الطماطم)، بقع بنية مرتفعة على الثمار.","Warm (24-30°C), humid, rainy weather; seed-borne inoculum; contaminated tools.","طقس دافئ (24-30°م) رطب ممطر، بذور ملوثة، أدوات ملوثة.","Overhead watering, dense planting, working plants while wet, infected seed or transplants.","الري العلوي، الزراعة الكثيفة، العمل مع النباتات وهي مبللة، شتلات أو بذور مصابة.","Copper + mancozeb tank mix every 7-10 days; copper resistance is common, so rotate with streptomycin where allowed.","خليط نحاس + مانكوزيب كل 7-10 أيام، مقاومة النحاس شائعة فاستبدلها بـ ستربتومايسين عند السماح.","Copper hydroxide; hot water seed treatment (50°C for 25 min); Serenade (Bacillus subtilis).","هيدروكسيد النحاس، معالجة البذور بالماء الساخن (50°م لمدة 25 دقيقة)، Serenade (Bacillus subtilis).","Use certified disease-free seed/transplants; drip irrigation; 2-3 year rotation; resistant cultivars.","استخدام بذور/شتلات معتمدة خالية من المرض، ري بالتنقيط، دورة زراعية 2-3 سنوات، أصناف مقاومة.","High","Warm summer months","أشهر الصيف الدافئة","https://extension.umn.edu/disease-management/bacterial-spot-tomato-and-pepper"
"19","Pepper_bell___healthy","Bell Pepper","فلفل رومي","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
